ac,amaz,awesom,beat,beauti,best,broken,contact,cost,crap,everyth,excel,fantast,far,fast,freez,great,horribl,instal,iphon,love,month,not,perfect,refund,repair,return,revert,rubbish,sent,stop,stun,terribl,told,unrespons,unsatisfi,video,warn,warranti,wast,faster,hd,metal,outstand,sharp,NegClass,PosClass,validation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275132439,0.383910581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0.758870139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616582604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0.491600288,0,0,0,0,0.289581402,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770815542,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0.675152221,0.600378627,0,0,0.554347693,0,0,0,0,0,0,0,0,0.289581402,0,0,0.275132439,0,0,0.148767904,0,0,0,0.494608461,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.466412383,0,0.675152221,0.600378627,0.370547098,0,0,0,0,0.458684372,0.491600288,0,0,0.485718125,0,0,0,0,0.275132439,0.383910581,0.426157409,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783532151,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426157409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485718125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675152221,0,0,0,0,0,0,0,0,0.783532151,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.51369155,0,0,0,0,0,0.275132439,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0.458684372,0.491600288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.682880232,0.675152221,0.600378627,0.370547098,0,0,0,0,0,0,0.576022024,0.51369155,0,0,0.289581402,0,0,0.275132439,0,0.426157409,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0.90739155,0,0,0,0,0,0,0,0,0,0.770815542,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0.494608461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675152221,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.51369155,0,0,0.289581402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0.370547098,0,0,0,0,0.458684372,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0.494608461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0,0,0,0.51369155,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0,0.717234325,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0.628176295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0,0,0,0,0,0,0,0,0.66055016,0,0,0,0,0,0,0.646955947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426157409,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0.675152221,0,0,0,0,0,0,0,0,0,0,0.485718125,0,0.289581402,0,0,0.275132439,0.383910581,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0.783532151,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0,0,0,0.51369155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0.66055016,0,0,0,0.148767904,0,0,0,0.494608461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.466412383,0,0.675152221,0,0.370547098,0,0,0,0,0.458684372,0,0,0,0,0,0.289581402,0,0,0.275132439,0.383910581,0.426157409,0.148767904,0,0,0,0,0,0,0,0,0.675152221,0.783532151,0,0,0,0.51037994,0,0,0,0,0.717234325,0,0,0,0,1,0
0,0.466412383,0,0,0,0,0,0,0,0,0,0,0,0.51369155,0,0,0.289581402,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0,0,0,0,0,0,0,0,0.66055016,0,0.383910581,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0.491600288,0,0,0.485718125,0,0.289581402,0,0,0,0,0,0.148767904,0,0,0,0.494608461,0,0,0,0,0.675152221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.554347693,0,0,0,0.491600288,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0.90739155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0.600378627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595260379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.682880232,0,0.458684372,0,0,0,0,0,0,0,0,0,0.383910581,0.426157409,0.148767904,0,0,0,0.494608461,0,0,0,0,0,0,0,0,0,0,0,0,0.726847789,0,0,0,0,0,1,0,0
0,0,0,0.675152221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0.491600288,0,0,0,0,0,0,0,0.275132439,0.383910581,0.426157409,0.148767904,0,0,0,0.494608461,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0.69930962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485718125,0,0.289581402,0,0.66055016,0.275132439,0.383910581,0.426157409,0,0,0,0,0,0,0,0,0,0.675152221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.554347693,0,0,0,0,0,0.51369155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717234325,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0.590271782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0.491600288,0,0,0,0,0,0,0,0.275132439,0,0.426157409,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0.600378627,0,0,0,0,0,0,0.491600288,0,0,0.485718125,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.682880232,0,0,0.370547098,0,0,0,0,0,0.491600288,0,0.51369155,0,0,0,0,0,0.275132439,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.554347693,0,0,0,0.491600288,0,0,0,0,0,0,0,0,0,0.426157409,0.148767904,0,0,0,0,0,0,0,0.616582604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485718125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783532151,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0.275132439,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0,0.717234325,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426157409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783532151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0.675152221,0,0.370547098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275132439,0,0,0.148767904,0,0,0,0,0,0,0,0,0.675152221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275132439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275132439,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275132439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.51369155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0.646955947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.466412383,0,0,0,0,0,0,0,0,0.458684372,0,0,0.51369155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426157409,0.148767904,0,0,0,0,0,0,0,0.616582604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0.491600288,0,0,0,0,0,0,0,0,0,0,0,0.595260379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0.770815542,0,0,0,0,0,0.646955947,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726847789,0,0,0,0,0,1,0,0
0,0.466412383,0,0,0.600378627,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0.458684372,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0.458684372,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0.770815542,0,0,0,0,0,0.646955947,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726847789,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383910581,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0.628176295,0,0.494608461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0.458684372,0,0,0,0.485718125,0,0,0,0,0.275132439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0.426157409,0,0.595260379,0,0.646955947,0,0,0.69930962,0.590271782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0.458684372,0,0,0,0,0,0,0,0,0.275132439,0,0,0.148767904,0,0.628176295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884183872,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383910581,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0.783532151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0.675152221,0,0,0,0.554347693,0,0,0,0.491600288,0.576022024,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0,0,0.811728228,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0,0,0,0,0,0,0.69930962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90739155,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383910581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0.458684372,0,0,0,0,0,0,0,0,0,0.383910581,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.682880232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0.275132439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66055016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783532151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0.554347693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884183872,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646955947,0,0,0,0,0.383910581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90739155,0,0,0,0,0.726847789,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0.682880232,0,0,0,0,0,0,0,0,0,0,0,0.383910581,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51037994,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646955947,0,0,0,0,0,0,0,0,0,0,0.494608461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.682880232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0.675152221,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.576022024,0,0,0,0.289581402,0,0.66055016,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646955947,0.494608461,0,0,0,0,0,0,0,0,0,0,0,0.682880232,0.726847789,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0.554347693,0,0,0,0,0,0,0.485718125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646955947,0,0,0,0,0,0.426157409,0,0,0,0,0,0,0,0,0,0,0.783532151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.682880232,0.675152221,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0.383910581,0,0.148767904,0,0,0,0,0,0,0,0,0.675152221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0.426157409,0.148767904,0,0,0,0.494608461,0,0.69930962,0,0.616582604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.797126167,0,0,0,0,0,0,0.554347693,0,0,0,0,0,0,0,0.646955947,0,0,0,0,0,0,0.148767904,0,0,0.646955947,0,0,0,0.590271782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0,0,0,0,0.485718125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628176295,0,0.494608461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595260379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0.426157409,0,0,0.628176295,0,0.494608461,0,0.69930962,0.590271782,0,0,0,0,0.90739155,0,0,0,0,0.726847789,0,0,0,0,0,1,0,0
0,0,0,0,0,0.370547098,0,0,0,0,0,0,0,0,0.485718125,0,0,0,0,0,0.383910581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426157409,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289581402,0,0,0,0,0,0.148767904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0.458684372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
